,depth_in_subtree,height_in_subtree,idea,idea_label,idea_probability,is_leaf,is_root,num_children,num_ideas_under,num_instances,num_instances_under,num_nodes_under,num_workers,parent,question_code,subtree_probability,subtree_root,subtree_oscore,idea_oscore
1380,2,0,1128587,,0.000501002004008016,True,False,0,1,1,1,1,1,1128583,charity,0.012024048096192385,1128582,0.9879759519038076,0.999498997995992
1381,2,0,1128588,,0.000501002004008016,True,False,0,1,1,1,1,1,1128583,charity,0.012024048096192385,1128582,0.9879759519038076,0.999498997995992
1382,2,0,1128589,,0.000501002004008016,True,False,0,1,1,1,1,1,1128583,charity,0.012024048096192385,1128582,0.9879759519038076,0.999498997995992
1383,2,0,1128590,,0.000501002004008016,True,False,0,1,1,1,1,1,1128583,charity,0.012024048096192385,1128582,0.9879759519038076,0.999498997995992
1384,2,0,1128591,,0.000501002004008016,True,False,0,1,1,1,1,1,1128583,charity,0.012024048096192385,1128582,0.9879759519038076,0.999498997995992
1385,1,1,1128592,,0.000501002004008016,True,False,0,1,1,1,1,1,1128582,charity,0.012024048096192385,1128582,0.9879759519038076,0.999498997995992
1386,1,1,1128593,,0.000501002004008016,True,False,0,1,1,1,1,1,1128582,charity,0.012024048096192385,1128582,0.9879759519038076,0.999498997995992
1387,1,1,1128594,,0.000501002004008016,True,False,0,1,1,1,1,1,1128582,charity,0.012024048096192385,1128582,0.9879759519038076,0.999498997995992
1388,1,1,1128595,,0.000501002004008016,True,False,0,1,1,1,1,1,1128582,charity,0.012024048096192385,1128582,0.9879759519038076,0.999498997995992
1389,1,1,1128596,,0.000501002004008016,True,False,0,1,1,1,1,1,1128582,charity,0.012024048096192385,1128582,0.9879759519038076,0.999498997995992
1390,1,1,1128597,,0.000501002004008016,True,False,0,1,1,1,1,1,1128582,charity,0.012024048096192385,1128582,0.9879759519038076,0.999498997995992
1391,1,1,1128598,,0.000501002004008016,True,False,0,1,1,1,1,1,1128582,charity,0.012024048096192385,1128582,0.9879759519038076,0.999498997995992
1392,1,1,1128599,,0.000501002004008016,True,False,0,1,1,1,1,1,1128582,charity,0.012024048096192385,1128582,0.9879759519038076,0.999498997995992
1393,1,1,1128600,,0.000501002004008016,True,False,0,1,1,1,1,1,1128582,charity,0.012024048096192385,1128582,0.9879759519038076,0.999498997995992
1394,1,1,1128601,,0.000501002004008016,True,False,0,1,1,1,1,1,1128582,charity,0.012024048096192385,1128582,0.9879759519038076,0.999498997995992
1395,1,1,1128602,,0.000501002004008016,True,False,0,1,1,1,1,1,1128582,charity,0.012024048096192385,1128582,0.9879759519038076,0.999498997995992
1396,1,1,1128603,,0.000501002004008016,True,False,0,1,1,1,1,1,1128582,charity,0.012024048096192385,1128582,0.9879759519038076,0.999498997995992
1397,1,1,1128604,,0.000501002004008016,True,False,0,1,1,1,1,1,1128582,charity,0.012024048096192385,1128582,0.9879759519038076,0.999498997995992
1398,1,1,1128605,,0.000501002004008016,True,False,0,1,1,1,1,1,1128582,charity,0.012024048096192385,1128582,0.9879759519038076,0.999498997995992
1399,1,1,1128606,,0.000501002004008016,True,False,0,1,1,1,1,1,1128582,charity,0.012024048096192385,1128582,0.9879759519038076,0.999498997995992
1400,1,1,1128607,,0.000501002004008016,True,False,0,1,1,1,1,1,1128582,charity,0.012024048096192385,1128582,0.9879759519038076,0.999498997995992
1401,0,1,1128608,Mascot,0.000501002004008016,False,True,7,1,1,8,8,1,-1,charity,0.004008016032064128,1128608,0.9959919839679359,0.999498997995992
1402,1,0,1128609,,0.000501002004008016,True,False,0,1,1,1,1,1,1128608,charity,0.004008016032064128,1128608,0.9959919839679359,0.999498997995992
1403,1,0,1128610,,0.000501002004008016,True,False,0,1,1,1,1,1,1128608,charity,0.004008016032064128,1128608,0.9959919839679359,0.999498997995992
1404,1,0,1128611,,0.000501002004008016,True,False,0,1,1,1,1,1,1128608,charity,0.004008016032064128,1128608,0.9959919839679359,0.999498997995992
1405,1,0,1128612,,0.000501002004008016,True,False,0,1,1,1,1,1,1128608,charity,0.004008016032064128,1128608,0.9959919839679359,0.999498997995992
1406,1,0,1128613,,0.000501002004008016,True,False,0,1,1,1,1,1,1128608,charity,0.004008016032064128,1128608,0.9959919839679359,0.999498997995992
1407,1,0,1128614,,0.000501002004008016,True,False,0,1,1,1,1,1,1128608,charity,0.004008016032064128,1128608,0.9959919839679359,0.999498997995992
1408,1,0,1128615,,0.000501002004008016,True,False,0,1,1,1,1,1,1128608,charity,0.004008016032064128,1128608,0.9959919839679359,0.999498997995992
1409,0,0,1128616,,0.000501002004008016,True,True,0,1,1,1,1,1,-1,charity,0.000501002004008016,1128616,0.999498997995992,0.999498997995992
1410,0,0,1128617,,0.000501002004008016,True,True,0,1,1,1,1,1,-1,charity,0.000501002004008016,1128617,0.999498997995992,0.999498997995992
1411,0,0,1128618,,0.000501002004008016,True,True,0,1,1,1,1,1,-1,charity,0.000501002004008016,1128618,0.999498997995992,0.999498997995992
1412,0,4,1128619,New Fundraising Events,0.001002004008016032,False,True,66,2,2,330,252,2,-1,charity,0.1653306613226453,1128619,0.8346693386773547,0.998997995991984
1413,1,3,1128620,find the spy party,0.001002004008016032,True,False,0,2,2,2,1,1,1128619,charity,0.1653306613226453,1128619,0.8346693386773547,0.998997995991984
1414,1,3,1128621,auctions,0.001002004008016032,False,False,18,2,2,23,20,2,1128619,charity,0.1653306613226453,1128619,0.8346693386773547,0.998997995991984
1415,2,2,1128622,,0.000501002004008016,True,False,0,1,1,1,1,1,1128621,charity,0.1653306613226453,1128619,0.8346693386773547,0.999498997995992
1416,2,2,1128623,,0.000501002004008016,True,False,0,1,1,1,1,1,1128621,charity,0.1653306613226453,1128619,0.8346693386773547,0.999498997995992
1417,2,2,1128625,,0.000501002004008016,True,False,0,1,1,1,1,1,1128621,charity,0.1653306613226453,1128619,0.8346693386773547,0.999498997995992
1418,2,2,1128626,,0.000501002004008016,True,False,0,1,1,1,1,1,1128621,charity,0.1653306613226453,1128619,0.8346693386773547,0.999498997995992
1419,2,2,1128627,,0.000501002004008016,True,False,0,1,1,1,1,1,1128621,charity,0.1653306613226453,1128619,0.8346693386773547,0.999498997995992
1420,2,2,1128628,,0.000501002004008016,True,False,0,1,1,1,1,1,1128621,charity,0.1653306613226453,1128619,0.8346693386773547,0.999498997995992
1421,2,2,1128629,,0.000501002004008016,True,False,0,1,1,1,1,1,1128621,charity,0.1653306613226453,1128619,0.8346693386773547,0.999498997995992
1422,2,2,1128630,,0.000501002004008016,True,False,0,1,1,1,1,1,1128621,charity,0.1653306613226453,1128619,0.8346693386773547,0.999498997995992
1423,2,2,1128631,,0.000501002004008016,True,False,0,1,1,1,1,1,1128621,charity,0.1653306613226453,1128619,0.8346693386773547,0.999498997995992
1424,2,2,1128632,,0.000501002004008016,True,False,0,1,1,1,1,1,1128621,charity,0.1653306613226453,1128619,0.8346693386773547,0.999498997995992
1425,2,2,1128633,,0.000501002004008016,True,False,0,1,1,1,1,1,1128621,charity,0.1653306613226453,1128619,0.8346693386773547,0.999498997995992
1426,2,2,1128634,,0.000501002004008016,True,False,0,1,1,1,1,1,1128621,charity,0.1653306613226453,1128619,0.8346693386773547,0.999498997995992
1427,2,2,1128635,,0.000501002004008016,True,False,0,1,1,1,1,1,1128621,charity,0.1653306613226453,1128619,0.8346693386773547,0.999498997995992
